component,slope,se,ci_lo,ci_hi,p
peak,-0.012813380119468,0.00475654965785427,-0.0221362174488624,-0.00349054279007366,0.0126845152726078
trough,-0.0122031567866511,0.0025548452176793,-0.0172106534133025,-0.00719566015999968,7.33108490240182e-05
amplitude,-0.000610223332816925,0.00544454190878775,-0.0112815254740409,0.0100610788084071,0.911692262104242
