subset,estimate,p_perm,n_perm
ITT,-0.241629966874859,0.1998001998002,1000
downstream,-0.244101538279821,0.243756243756244,1000
upstream placebo,-0.212347530033899,0.562437562437563,1000
contrast down-up,-0.0317540082459215,0.828171828171828,1000
