quantity,value,detail
"downstream-gauge local cropland (2007, 5 km)",0.197457299128052,per-basin mean over 15 paired basins; downstream valleys are ~2.5x more cropped than upstream headwaters
"upstream-gauge local cropland (2007, 5 km)",0.0774355359409231,per-basin mean over 15 paired basins
down-up cropland gap (paired treated gauges),0.120021763187129,positive = downstream more extracted; 12 of 15 paired basins have down > up
control transmission slope vs local cropland (raw),-0.0465797652828874,p = 0.749 (n=84 control gauges); local extraction does NOT predict transmission
control transmission slope vs local cropland (+ elevation),-0.100265028692006,p = 0.432; sign opposite to the masking mechanism (high-extraction reaches are if anything flatter)
control transmission slope vs local cropland (+ elevation + discharge),-0.0948221127317017,p = 0.407 (n=84); robust to scale/elevation
predicted masking magnitude (gap x raw sensitivity),-0.00559058555809477,"= -0.0056 SSI/SPEI, far below the 0.28 MDE and the -0.23 carryover contrast"
predicted masking magnitude (gap x full sensitivity),-0.0113807171591876,"= -0.0114 SSI/SPEI, ~3% of the 0.28 MDE"
