quantity,value,detail
"upstream gauges (unit area, km2)",3156,n=28; mean transmission 0.565
"downstream gauges (unit area, km2)",3071,n=40; mean transmission 0.599
"control transmission slope vs log(area), per e-fold",-0.07,"p = 0.06 (n=84 control gauges); area does not predict transmission, so the up/down catchment-size gap cannot manufacture the placebo attenuation"
control transmission by area tercile (mean slope),,small 0.865 (n=28) | mid 0.891 (n=28) | large 0.725 (n=28)
