component,pre_mean,post_mean,shift,se,ci_lo,ci_hi,p
peak,0.867,0.665,-0.209765356243543,0.0787162327565475,-0.364049172446376,-0.0554815400407098,0.0135543045421625
trough,0.395,0.248,-0.150459318931186,0.0393054810733171,-0.227498061834887,-0.073420576027484,0.000812929226058267
amplitude,0.473,0.417,-0.0593060373123572,0.0805949323800804,-0.217272104777315,0.0986600301526004,0.468951396612007
