outcome,att,ci_lo,ci_hi,perm_p,null_lo,null_hi
Rights count (per 100 km²),20.0356066706722,4.02127209613551,36.0499412452088,0.516,2.42745709593234,41.1066340638357
"Allocated volume (winsorized, l/s per km²)",2.53909386420007,1.06783603493177,4.01035169346837,0.31,-0.690107096266373,3.90537789731734
