outcome,att,ci_hc3,perm_p_stratified,ci_cuenca_clustered,perm_p_spatial_block
Water-rights volume (l/s per km2),1.87244583465511,"[0.16, 3.58]",0.005,"[-0.33, 4.07]",0.077
Water-rights count (per 100 km2),11.9992853799142,"[-4.36, 28.36]",0.42,"[-2.70, 26.70]",0.581
