outcome,observed,baseline,null_sd,mde,mde_pct_of_baseline,delta,delta_pct,ci90_lo,ci90_hi,equivalent,p_perm
streamflow SSI (ITT),-0.182872978533266,0.585406381595239,0.0957934233211352,0.26837343876893,45.8439551064698,0.14635159539881,25,-0.340439138321133,-0.0253068187453991,FALSE,0.388611388611389
streamflow SSI (downstream),-0.164599711742718,0.530531085014479,0.111376926185517,0.312031950040204,58.8150174144251,0.13263277125362,25,-0.347798452737673,0.0185990292522361,FALSE,0.480519480519481
irrigated area (DiD),0.000749076303144505,0.00013507286834789,0.00353182021295099,0.00989469530163609,7325.44990171644,3.37682170869725e-05,25,-0.00506025098386845,0.00655840359015746,FALSE,0.901098901098901
orchard ET (DiD),-0.0195544295579463,0.0192135335629582,0.0162547077199389,0.0455389488729275,237.014959917222,0.00480338339073956,25,-0.0462910445061238,0.00718218539023122,FALSE,0.252747252747253
