outcome,att,se,ci_lo,ci_hi,perm_p,n_treated,n_control
Cropland-area expansion (ha/km2),-0.58571842909293,0.760667459236191,-2.07662664919586,0.905189791010003,0.328,21,158
Orchard ET buffering (dlogET/dSPEI),-0.0181833985114197,0.0124958081919227,-0.0426751825675882,0.0063083855447489,0.291,18,30
Water-rights count (per 100 km2),11.9992853799142,8.34777245219758,-4.36234862639306,28.3609193862214,0.42,21,136
Water-rights volume (l/s per km2),1.87244583465511,0.871904766810074,0.163512491707369,3.58137917760286,0.005,21,136
