winsor,att,ci_lo,ci_hi,perm_p,null_lo,null_hi
0.95,1.83651744719261,0.638664774345139,3.03437012004008,0.389,-0.503016176101861,3.15378588017928
0.99,2.39479687736533,0.956285910295265,3.83330784443539,0.343,-0.686005299366139,3.82884762018651
0.995,2.53909386420007,1.06783603493177,4.01035169346837,0.31,-0.690107096266373,3.90537789731734
0.999,3.2114992259894,1.55840062604885,4.86459782592995,0.209,-0.625977656654397,4.48354962053219
