spec,dammed,control,att_wo,wo_lo,wo_hi,perm_p,att_dr,dr_lo,dr_hi,n_treated,n_control,n_wells,moran_I,moran_p
median (primary),0.0979172458380917,0.0791539697756728,0.0894248674644658,-0.169292102475342,0.348141837404273,0.681,0.0278427216012819,-0.236775906102016,0.292461349304579,13,13,213,-0.0686516322401133,0.752
mean (robustness),0.288923093692592,0.0759954892656064,0.282608988271326,-0.107984743259059,0.673202719801712,0.328,0.485748889819487,-0.622524167370704,1.59402194700968,13,13,213,-0.013561596948249,0.726
