subset,estimate_raw,estimate_adj,p_perm_adj,elev_term_p,n_perm
ITT,-0.182872978533266,-0.195241212309316,0.299850074962519,0.000430485327073223,2000
downstream,-0.164599711742718,-0.196007963017952,0.330834582708646,0.000740080980568004,2000
upstream placebo,-0.201437997417675,-0.211747855066579,0.390304847576212,0.00087604537532203,2000
contrast down-up,,0.0157398920486266,0.890554722638681,,2000
