component,quantity,estimate,se,p
peak,within-megadrought trend (per yr),-0.00243176113164111,0.00344490889872604,0.487046575444857
trough,within-megadrought trend (per yr),-0.0101787257842873,0.00341464867071594,0.00649355672065077
peak,step change at 2010,-0.191527147756232,0.0881837429396754,0.0399693776204745
peak,post-2010 drift (per yr),-0.00243176113164128,0.00344738980363048,0.487356889987847
trough,step change at 2010,-0.0741188755490309,0.0457348040203868,0.118164864280732
trough,post-2010 drift (per yr),-0.0101787257842873,0.00341710778324496,0.00652666844600666
